label_custom_id,label_custom_id,label_id,label_text
DATE,DATE,64380f311ade244f2ed388f6,DATE
DAY,DAY,64380f311ade244f2ed388f7,DAY
MONTH,MONTH,64380f311ade244f2ed388f8,MONTH
YEAR,YEAR,64380f311ade244f2ed388f9,YEAR
TIME,TIME,64380f311ade244f2ed388fa,TIME
DATETIME,DATETIME,64380f311ade244f2ed388fb,DATETIME
INTERVAL,INTERVAL,64380f311ade244f2ed388fc,INTERVAL
INTERVAL_START,INTERVAL_START,64380f311ade244f2ed388fd,INTERVAL_START
INTERVAL_END,INTERVAL_END,64380f311ade244f2ed388fe,INTERVAL_END
DURATION,DURATION,64380f311ade244f2ed388ff,DURATION
RECURRING,RECURRING,64380f311ade244f2ed38900,RECURRING
CURRENCY,CURRENCY,64380f311ade244f2ed38901,CURRENCY
PERCENTAGE,PERCENTAGE,64380f311ade244f2ed38902,PERCENTAGE
NUMBER,NUMBER,64380f311ade244f2ed38903,NUMBER
DIMENSIONS,DIMENSIONS,64380f311ade244f2ed38904,DIMENSIONS
AGE,AGE,64380f311ade244f2ed38905,AGE
TEMPERATURE,TEMPERATURE,64380f311ade244f2ed38906,TEMPERATURE
QUANTITY,QUANTITY,64380f311ade244f2ed38907,QUANTITY
UNIT,UNIT,64380f311ade244f2ed38908,UNIT
UNIT_TYPE,UNIT_TYPE,64380f311ade244f2ed38909,UNIT_TYPE
GPE,GPE,64380f311ade244f2ed3890a,GPE
CITY,CITY,64380f311ade244f2ed3890b,CITY
STATE,STATE,64380f311ade244f2ed3890c,STATE
COUNTRY,COUNTRY,64380f311ade244f2ed3890d,COUNTRY
NON_GPE,NON_GPE,64380f311ade244f2ed3890e,NON_GPE
FACILITY,FACILITY,64380f311ade244f2ed3890f,FACILITY
LOCATION,LOCATION,64380f311ade244f2ed38910,LOCATION
PERSON,PERSON,64380f311ade244f2ed38911,PERSON
ORGANIZATION,ORGANIZATION,64380f311ade244f2ed38912,ORGANIZATION
PRODUCT,PRODUCT,64380f311ade244f2ed38913,PRODUCT
EVENT,EVENT,64380f311ade244f2ed38914,EVENT
